		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
04/11/25	11:00 p	21.8	22.2	21.4	73	16.7	0.4	SSE	1.61	2.7	ENE	21.8	22.2	22.2	1010.2	0.00	0.0	0.000	0.144	23.1	68	16.8	23.7	12.55	1.1662	1347	1	98.5	60
05/11/25	12:00 a	19.8	21.5	18.6	89	17.9	0.4	SSW	1.61	2.7	SSW	19.8	20.7	20.7	1010.5	0.00	0.0	0.000	0.060	22.9	69	17.0	23.6	12.78	1.1668	1334	1	97.5	60
05/11/25	1:00 a	18.6	19.4	18.2	89	16.8	0.4	E	1.61	3.6	ESE	18.6	19.2	19.2	1010.5	0.00	0.0	0.000	0.012	22.8	69	16.8	23.3	12.79	1.1677	1333	1	97.4	60
05/11/25	2:00 a	19.3	19.6	18.8	87	17.1	0.9	ESE	3.22	3.6	E	19.3	20.1	20.1	1011.0	0.00	0.0	0.000	0.042	22.7	69	16.7	23.2	12.79	1.1689	1343	1	98.2	60
05/11/25	3:00 a	18.6	18.8	18.3	89	16.8	0.4	E	1.61	4.0	E	18.6	19.2	19.2	1011.2	0.00	0.0	0.000	0.012	22.6	70	16.8	23.1	13.05	1.1694	1336	1	97.7	60
05/11/25	4:00 a	18.2	18.3	18.1	89	16.4	0.0	ENE	0.00	2.2	NNW	18.2	18.7	18.7	1011.2	0.00	0.0	0.005	0.000	22.4	70	16.7	22.9	13.05	1.1700	1331	1	97.3	60
05/11/25	5:00 a	18.2	18.4	18.1	89	16.4	0.0	NE	0.00	1.8	E	18.2	18.7	18.7	1011.5	0.00	0.0	0.005	0.000	22.4	70	16.6	22.8	13.06	1.1706	1346	1	98.4	60
05/11/25	6:00 a	18.3	18.7	18.1	87	16.1	0.4	SSE	1.61	2.7	SSE	18.3	18.8	18.8	1012.2	0.00	0.0	0.000	0.000	22.3	70	16.5	22.7	13.07	1.1720	1327	1	97.0	60
05/11/25	7:00 a	18.9	19.0	18.7	87	16.7	0.4	SSE	1.61	2.7	SSE	18.9	19.5	19.5	1012.6	0.00	0.0	0.000	0.023	22.4	70	16.6	22.8	13.06	1.1719	1278	1	93.4	60
05/11/25	8:00 a	18.7	19.0	18.2	88	16.6	0.9	ESE	3.22	3.6	ESE	18.7	19.3	19.3	1013.2	0.00	0.0	0.000	0.014	22.5	69	16.5	22.9	12.80	1.1724	1282	1	93.7	60
05/11/25	9:00 a	18.0	18.3	17.8	87	15.8	1.3	E	4.83	4.5	SSE	18.0	18.4	18.4	1013.5	0.00	0.0	0.014	0.000	22.4	69	16.5	22.9	12.80	1.1730	1312	1	95.9	60
05/11/25	10:00 a	19.1	20.3	18.2	77	14.9	0.4	ESE	1.61	2.7	ESE	19.1	19.4	19.4	1013.0	0.00	0.0	0.000	0.030	22.6	68	16.4	23.1	12.55	1.1719	1328	1	97.1	60
05/11/25	11:00 a	21.0	21.6	20.3	73	16.0	0.4	ESE	1.61	3.1	SSE	21.0	21.3	21.3	1012.5	0.00	0.0	0.000	0.111	23.1	68	16.8	23.7	12.55	1.1690	1338	1	97.8	60
05/11/25	12:00 p	21.9	22.8	21.2	72	16.6	0.9	NE	3.22	2.7	SSE	21.9	22.3	22.3	1012.0	0.00	0.0	0.000	0.148	23.5	67	17.0	24.3	12.26	1.1663	1332	1	97.4	60
05/11/25	1:00 p	23.0	23.8	22.5	73	17.9	0.9	NE	3.22	3.1	NW	23.0	23.8	23.8	1011.3	0.00	0.0	0.000	0.194	24.1	67	17.5	24.9	12.24	1.1625	1335	1	97.6	60
05/11/25	2:00 p	24.2	25.2	23.6	71	18.6	0.4	SSE	1.61	3.1	SSE	24.2	25.2	25.2	1010.2	0.00	0.0	0.000	0.243	25.2	64	17.9	25.8	11.60	1.1565	1329	1	97.1	60
05/11/25	3:00 p	23.8	24.0	23.7	70	18.0	0.9	SSE	3.22	4.0	SSE	23.8	24.8	24.8	1009.8	0.00	0.0	0.000	0.229	24.9	65	17.9	25.6	11.81	1.1571	1337	1	97.7	60
05/11/25	4:00 p	24.1	24.3	23.8	68	17.8	0.9	E	3.22	3.1	ENE	24.1	24.9	24.9	1009.6	0.00	0.0	0.000	0.238	24.7	66	17.9	25.5	12.02	1.1574	1322	1	96.6	60
05/11/25	5:00 p	23.3	23.8	22.9	73	18.2	0.4	E	1.61	2.7	ENE	23.3	24.3	24.3	1009.8	0.00	0.0	0.000	0.208	24.4	67	17.9	25.2	12.23	1.1587	1335	1	97.6	60
05/11/25	6:00 p	22.7	23.0	22.4	75	18.1	0.0	ENE	0.00	1.8	ENE	22.7	23.6	23.6	1010.1	0.00	0.0	0.000	0.183	24.2	67	17.7	24.9	12.24	1.1606	1334	1	97.5	60
05/11/25	7:00 p	22.2	22.5	21.8	76	17.7	0.9	NE	3.22	2.7	ENE	22.2	22.8	22.8	1010.9	0.00	0.0	0.000	0.160	23.9	67	17.4	24.8	12.25	1.1627	1331	1	97.3	60
05/11/25	8:00 p	21.7	21.9	21.4	78	17.7	0.9	NE	3.22	2.7	E	21.7	22.3	22.3	1011.6	0.00	0.0	0.000	0.141	23.8	68	17.6	24.7	12.55	1.1637	1311	1	95.8	60
05/11/25	9:00 p	20.6	21.6	19.9	76	16.2	1.8	ESE	6.44	4.9	E	20.6	21.2	21.2	1012.4	0.00	0.0	0.000	0.093	23.7	68	17.5	24.6	12.55	1.1652	1324	1	96.8	60
05/11/25	10:00 p	19.5	20.0	18.9	81	16.2	0.4	ENE	1.61	3.1	ESE	19.5	20.2	20.2	1012.8	0.00	0.0	0.000	0.049	23.6	67	17.1	24.3	12.26	1.1670	1334	1	97.5	60
05/11/25	11:00 p	18.4	18.9	18.2	84	15.7	0.0	NE	0.00	1.8	ENE	18.4	18.9	18.9	1012.2	0.00	0.0	0.000	0.005	23.4	67	16.9	24.2	12.27	1.1671	1331	1	97.3	60
06/11/25	12:00 a	18.2	18.2	18.1	83	15.2	0.0	ENE	0.00	0.9	NE	18.2	18.6	18.6	1011.7	0.00	0.0	0.007	0.000	23.3	67	16.8	24.0	12.27	1.1671	1334	1	97.5	60
06/11/25	1:00 a	18.1	18.2	18.1	83	15.2	0.4	E	1.61	2.2	ENE	18.1	18.5	18.5	1010.7	0.00	0.0	0.009	0.000	23.1	67	16.6	23.8	12.28	1.1669	1326	1	96.9	60
06/11/25	2:00 a	17.9	18.1	17.4	86	15.5	0.4	ESE	1.61	2.2	ESE	17.9	18.3	18.3	1010.6	0.00	0.0	0.019	0.000	23.1	67	16.6	23.7	12.28	1.1670	1334	1	97.5	60
06/11/25	3:00 a	16.6	17.4	16.2	91	15.1	0.9	SSE	3.22	4.0	S	16.6	16.9	16.9	1010.4	0.00	0.0	0.072	0.000	22.9	67	16.4	23.4	12.29	1.1677	1321	1	96.6	60
06/11/25	4:00 a	16.3	16.4	16.2	88	14.3	0.4	E	1.61	2.2	ENE	16.3	16.4	16.4	1010.3	0.00	0.0	0.086	0.000	22.7	67	16.3	23.2	12.29	1.1684	1326	1	96.9	60
06/11/25	5:00 a	16.4	16.5	16.3	87	14.2	0.0	SSE	0.00	1.8	SSE	16.4	16.6	16.6	1011.0	0.00	0.0	0.081	0.000	22.6	67	16.1	22.9	12.30	1.1702	1332	1	97.4	60
06/11/25	6:00 a	16.4	16.5	16.2	89	14.6	0.0	ESE	0.00	1.8	SSE	16.4	16.6	16.6	1011.4	0.00	0.0	0.081	0.000	22.4	67	16.0	22.8	12.30	1.1712	1330	1	97.2	60
06/11/25	7:00 a	16.5	16.9	16.2	87	14.3	0.0	NNW	0.00	0.9	SSW	16.5	16.7	16.7	1011.7	0.00	0.0	0.076	0.000	22.4	67	16.0	22.7	12.30	1.1718	1294	1	94.6	60
06/11/25	8:00 a	17.7	18.4	16.9	82	14.6	0.4	NNW	1.61	2.2	NNW	17.7	18.0	18.0	1011.9	0.00	0.0	0.025	0.000	22.6	66	15.9	22.9	12.10	1.1715	1008	1	73.7	60
06/11/25	9:00 a	18.5	19.2	18.2	80	15.0	0.4	NNW	1.61	2.7	SW	18.5	18.9	18.9	1011.9	0.00	0.0	0.000	0.007	22.9	65	16.0	23.3	11.85	1.1701	1310	1	95.8	60
06/11/25	10:00 a	20.8	22.9	19.2	69	14.9	0.9	E	3.22	2.7	N	20.8	20.9	20.9	1011.2	0.00	0.0	0.000	0.104	23.6	63	16.2	24.2	11.46	1.1662	1233	1	90.1	60
06/11/25	11:00 a	23.6	24.6	22.8	64	16.4	0.4	NNW	1.61	2.7	SE	23.6	24.3	24.3	1010.0	0.00	0.0	0.000	0.220	24.7	62	16.9	25.2	11.22	1.1596	963	1	70.4	60
06/11/25	12:00 p	24.9	25.6	24.3	64	17.7	1.3	E	4.83	4.0	ESE	24.9	25.6	25.6	1009.1	0.00	0.0	0.000	0.275	25.4	62	17.6	26.0	11.20	1.1547	944	1	69.0	60
06/11/25	1:00 p	25.2	25.6	24.8	63	17.6	1.8	ENE	6.44	4.5	E	25.2	25.8	25.8	1008.5	0.00	0.0	0.000	0.285	25.8	62	17.9	26.4	11.18	1.1520	1228	1	89.8	60
06/11/25	2:00 p	25.4	25.9	24.8	62	17.6	2.2	ENE	8.05	5.8	E	25.4	26.0	26.0	1007.7	0.00	0.0	0.000	0.294	25.9	62	18.0	26.6	11.18	1.1505	1326	1	96.9	60
06/11/25	3:00 p	24.4	24.8	24.0	65	17.4	1.8	ENE	6.44	4.0	E	24.4	25.1	25.1	1007.9	0.00	0.0	0.000	0.252	25.6	62	17.8	26.2	11.19	1.1521	1237	1	90.4	60
06/11/25	4:00 p	23.9	24.1	23.8	65	17.0	1.3	ENE	4.83	3.6	ENE	23.9	24.7	24.7	1007.6	0.00	0.0	0.000	0.234	25.2	62	17.4	25.8	11.20	1.1539	1304	1	95.3	60
06/11/25	5:00 p	23.6	23.8	23.4	68	17.4	0.9	ENE	3.22	3.1	ENE	23.6	24.4	24.4	1008.0	0.00	0.0	0.000	0.220	25.1	63	17.5	25.7	11.41	1.1548	1313	1	96.0	60
06/11/25	6:00 p	21.6	23.5	20.4	79	17.8	2.2	SE	8.05	8.0	SE	21.6	22.3	22.3	1008.8	0.00	0.0	0.000	0.137	24.8	64	17.5	25.4	11.62	1.1569	1327	1	97.0	60
06/11/25	7:00 p	19.5	20.4	18.1	88	17.5	2.2	SSE	8.05	7.2	SE	19.5	20.3	20.3	1010.1	0.00	0.0	0.000	0.049	24.5	64	17.2	25.1	11.63	1.1599	1324	1	96.8	60
06/11/25	8:00 p	17.4	18.1	17.0	91	16.0	1.8	SSE	6.44	5.8	SSE	17.4	17.9	17.9	1011.6	0.00	0.0	0.037	0.000	24.2	65	17.2	24.9	11.84	1.1627	1316	1	96.2	60
06/11/25	9:00 p	16.8	17.0	16.6	91	15.4	2.2	SSE	8.05	6.3	SSE	16.8	17.2	17.2	1012.4	0.20	0.0	0.063	0.000	23.9	65	17.0	24.7	11.85	1.1651	1316	1	96.2	60
06/11/25	10:00 p	16.4	16.6	15.7	91	14.9	1.8	SSE	6.44	6.3	SSE	16.4	16.7	16.7	1013.3	0.40	0.8	0.081	0.000	23.7	65	16.7	24.4	11.85	1.1674	1334	1	97.5	60
06/11/25	11:00 p	15.8	16.0	15.6	89	14.0	0.9	ESE	3.22	4.0	ESE	15.8	15.9	15.9	1013.4	0.00	0.0	0.106	0.000	23.5	65	16.5	24.2	11.85	1.1686	1340	1	98.0	60
07/11/25	12:00 a	15.8	16.0	15.7	92	14.5	0.4	S	1.61	2.2	SSE	15.8	16.1	16.1	1013.1	0.20	0.0	0.104	0.000	23.3	65	16.3	23.9	11.85	1.1695	1339	1	97.9	60
07/11/25	1:00 a	15.6	15.7	15.3	93	14.4	1.3	SW	4.83	3.6	SSW	15.6	15.8	15.8	1012.8	0.80	1.8	0.116	0.000	23.1	65	16.2	23.7	11.85	1.1700	1315	1	96.1	60
07/11/25	2:00 a	14.9	15.4	14.4	90	13.3	0.9	SW	3.22	3.6	SSW	14.9	15.1	15.1	1012.4	0.80	1.8	0.141	0.000	22.9	64	15.8	23.4	11.65	1.1707	1317	1	96.3	60
07/11/25	3:00 a	14.3	14.4	14.3	89	12.5	0.4	NE	1.61	2.2	NNW	14.3	14.4	14.4	1011.9	0.00	0.0	0.167	0.000	22.7	64	15.6	23.1	11.65	1.1713	1333	1	97.4	60
07/11/25	4:00 a	14.4	14.6	14.3	87	12.3	0.4	NNW	1.61	1.8	NE	14.4	14.4	14.4	1011.9	0.00	0.0	0.162	0.000	22.5	64	15.3	22.7	11.65	1.1724	1340	1	98.0	60
07/11/25	5:00 a	14.7	14.8	14.6	89	12.9	0.0	NW	0.00	0.9	NW	14.7	14.8	14.8	1012.7	0.00	0.0	0.150	0.000	22.3	64	15.2	22.5	11.65	1.1742	1331	1	97.3	60
07/11/25	6:00 a	14.9	15.2	14.8	89	13.1	0.0	---	0.00	0.0	---	14.9	15.1	15.1	1013.3	0.00	0.0	0.141	0.000	22.2	65	15.3	22.4	11.85	1.1752	1327	1	97.0	60
07/11/25	7:00 a	15.4	15.8	15.2	88	13.5	0.0	NW	0.00	0.9	NW	15.4	15.6	15.6	1013.8	0.00	0.0	0.120	0.000	22.2	65	15.3	22.3	11.85	1.1760	1294	1	94.6	60
07/11/25	8:00 a	16.2	16.3	15.8	85	13.6	0.9	W	3.22	3.1	W	16.2	16.3	16.3	1014.3	0.00	0.0	0.090	0.000	22.2	64	15.1	22.3	11.65	1.1767	1211	1	88.5	60
07/11/25	9:00 a	16.3	16.4	16.0	84	13.6	1.8	SW	6.44	4.0	SW	16.3	16.4	16.4	1014.6	0.00	0.0	0.086	0.000	22.2	63	14.8	22.2	11.51	1.1777	1296	1	94.7	60
07/11/25	10:00 a	15.8	16.1	15.5	86	13.5	1.3	WSW	4.83	3.1	WSW	15.8	15.9	15.9	1014.8	0.00	0.0	0.104	0.000	22.2	64	15.0	22.3	11.65	1.1776	1271	1	92.9	60
07/11/25	11:00 a	16.5	16.9	16.1	82	13.4	1.3	WNW	4.83	3.6	NW	16.5	16.6	16.6	1014.5	0.00	0.0	0.076	0.000	22.2	63	14.8	22.3	11.51	1.1772	1336	1	97.7	60
07/11/25	12:00 p	17.1	17.3	16.9	79	13.4	0.9	WNW	3.22	3.6	SW	17.1	17.2	17.2	1014.1	0.00	0.0	0.053	0.000	22.4	63	15.0	22.6	11.50	1.1759	1329	1	97.1	60
07/11/25	1:00 p	17.8	18.7	17.3	75	13.3	0.9	W	3.22	2.7	WSW	17.8	17.9	17.9	1013.7	0.00	0.0	0.021	0.000	22.5	62	14.9	22.7	11.30	1.1751	1329	1	97.1	60
07/11/25	2:00 p	18.4	18.7	18.1	73	13.5	0.9	SW	3.22	3.1	SW	18.4	18.6	18.6	1013.1	0.00	0.0	0.000	0.005	22.7	62	15.1	23.0	11.29	1.1733	1340	1	98.0	60
07/11/25	3:00 p	18.9	19.1	18.6	74	14.2	0.9	SSW	3.22	2.7	SW	18.9	19.2	19.2	1013.0	0.00	0.0	0.000	0.025	22.9	62	15.2	23.2	11.29	1.1723	1331	1	97.3	60
07/11/25	4:00 p	18.7	18.8	18.6	75	14.2	0.9	WSW	3.22	2.2	SW	18.7	18.9	18.9	1013.0	0.00	0.0	0.000	0.016	22.8	62	15.1	23.1	11.29	1.1729	1336	1	97.7	60
07/11/25	5:00 p	18.7	18.8	18.7	76	14.4	0.4	WSW	1.61	2.2	W	18.7	19.0	19.0	1013.0	0.00	0.0	0.000	0.016	22.5	63	15.1	22.7	11.50	1.1741	1333	1	97.4	60
07/11/25	6:00 p	18.6	18.7	18.4	80	15.1	0.4	SSE	1.61	1.8	W	18.6	19.1	19.1	1013.4	0.00	0.0	0.000	0.012	22.4	63	15.0	22.6	11.50	1.1751	1341	1	98.0	60
07/11/25	7:00 p	17.4	18.4	16.6	92	16.1	0.9	SSE	3.22	4.0	SSE	17.4	17.9	17.9	1014.0	0.00	0.0	0.037	0.000	22.2	64	15.0	22.3	11.65	1.1767	1329	1	97.1	60
07/11/25	8:00 p	16.4	16.6	16.3	92	15.1	0.4	SSE	1.61	2.2	SSE	16.4	16.7	16.7	1014.4	0.60	1.0	0.081	0.000	22.0	65	15.1	22.1	11.85	1.1776	1337	1	97.7	60
07/11/25	9:00 p	16.2	16.3	16.0	92	14.9	0.0	ESE	0.00	2.2	ESE	16.2	16.4	16.4	1014.9	1.00	1.0	0.090	0.000	21.8	65	15.0	21.8	11.85	1.1791	1339	1	97.9	60
07/11/25	10:00 p	15.8	16.1	15.5	92	14.5	0.0	NW	0.00	2.2	E	15.8	16.1	16.1	1014.9	0.40	1.0	0.104	0.000	21.7	66	15.1	21.7	12.13	1.1794	1341	1	98.0	60
07/11/25	11:00 p	15.2	15.6	14.9	92	13.9	0.4	NNW	1.61	1.8	NNW	15.2	15.3	15.3	1014.2	0.00	0.0	0.132	0.000	21.6	65	14.7	21.5	11.85	1.1798	1326	1	96.9	60
08/11/25	12:00 a	15.1	15.2	14.9	90	13.5	0.0	ENE	0.00	1.8	NE	15.1	15.2	15.2	1014.0	0.20	0.0	0.134	0.000	21.4	66	14.8	21.4	12.14	1.1798	1346	1	98.4	60
08/11/25	1:00 a	15.3	15.4	15.2	91	13.8	0.0	SW	0.00	0.9	NNE	15.3	15.4	15.4	1013.7	0.00	0.0	0.127	0.000	21.3	66	14.7	21.3	12.14	1.1800	1329	1	97.1	60
08/11/25	2:00 a	15.3	15.4	15.3	90	13.7	0.0	NW	0.00	0.9	W	15.3	15.5	15.5	1013.6	0.00	0.0	0.125	0.000	21.2	66	14.6	21.1	12.15	1.1805	1336	1	97.7	60
08/11/25	3:00 a	15.3	15.4	15.3	91	13.9	0.0	W	0.00	0.4	W	15.3	15.5	15.5	1013.4	0.00	0.0	0.125	0.000	21.1	66	14.5	21.0	12.15	1.1808	1329	1	97.1	60
08/11/25	4:00 a	15.3	15.4	15.3	92	14.0	0.0	WNW	0.00	0.9	W	15.3	15.5	15.5	1013.2	0.00	0.0	0.125	0.000	21.1	66	14.5	20.9	12.15	1.1809	1341	1	98.0	60
08/11/25	5:00 a	15.4	15.4	15.3	92	14.1	0.0	NNW	0.00	1.8	N	15.4	15.6	15.6	1013.6	0.00	0.0	0.123	0.000	20.9	66	14.4	20.8	12.15	1.1819	1339	1	97.9	60
08/11/25	6:00 a	15.6	15.9	15.4	90	14.0	0.0	W	0.00	0.9	NW	15.6	15.8	15.8	1014.0	0.00	0.0	0.113	0.000	20.9	66	14.3	20.8	12.15	1.1827	1291	1	94.4	60
08/11/25	7:00 a	16.4	17.1	15.9	86	14.1	0.0	WNW	0.00	1.8	NNW	16.4	16.6	16.6	1014.3	0.00	0.0	0.079	0.000	21.0	66	14.4	20.9	12.15	1.1824	1328	1	97.1	60
08/11/25	8:00 a	17.9	18.5	17.1	79	14.2	0.4	NNW	1.61	2.2	NNW	17.9	18.2	18.2	1014.6	0.00	0.0	0.019	0.000	21.5	66	14.9	21.4	12.14	1.1803	1298	1	94.9	60
08/11/25	9:00 a	19.0	19.6	18.5	74	14.3	0.4	ENE	1.61	1.8	ESE	19.0	19.3	19.3	1014.7	0.00	0.0	0.000	0.028	21.9	65	15.0	21.9	11.85	1.1786	1337	1	97.7	60
08/11/25	10:00 a	19.7	20.2	19.4	71	14.3	0.4	SSE	1.61	2.2	NW	19.7	19.9	19.9	1014.3	0.00	0.0	0.000	0.056	22.2	64	15.0	22.3	11.65	1.1770	1334	1	97.5	60
08/11/25	11:00 a	21.2	22.3	20.1	66	14.6	0.9	NE	3.22	3.1	E	21.2	21.1	21.1	1013.5	0.00	0.0	0.000	0.118	22.6	63	15.2	22.8	11.50	1.1743	1337	1	97.7	60
08/11/25	12:00 p	22.8	23.6	22.0	62	15.1	1.3	ENE	4.83	4.0	ENE	22.8	23.1	23.1	1012.3	0.00	0.0	0.000	0.185	23.3	62	15.6	23.8	11.27	1.1695	1338	1	97.8	60
08/11/25	1:00 p	23.6	24.1	23.0	64	16.3	0.9	ENE	3.22	3.1	NE	23.6	24.2	24.2	1011.7	0.00	0.0	0.000	0.218	23.9	62	16.2	24.5	11.25	1.1654	1337	1	97.7	60
08/11/25	2:00 p	23.9	25.4	22.7	62	16.2	1.3	ENE	4.83	4.9	E	23.9	24.5	24.5	1010.8	0.00	0.0	0.000	0.234	24.1	61	16.1	24.6	11.04	1.1641	1332	1	97.4	60
08/11/25	3:00 p	25.4	25.9	24.8	59	16.8	0.9	NE	3.22	4.0	NE	25.4	25.9	25.9	1010.2	0.00	0.0	0.000	0.296	24.7	61	16.6	25.1	11.02	1.1602	1336	1	97.7	60
08/11/25	4:00 p	24.2	24.9	23.8	62	16.5	2.2	ENE	8.05	5.4	NE	24.2	24.8	24.8	1010.1	0.00	0.0	0.000	0.245	24.7	61	16.7	25.2	11.02	1.1598	1334	1	97.5	60
08/11/25	5:00 p	23.6	24.5	22.7	64	16.3	1.8	ENE	6.44	4.5	ENE	23.6	24.2	24.2	1010.2	0.00	0.0	0.000	0.218	24.6	61	16.6	25.1	11.02	1.1605	1337	1	97.7	60
08/11/25	6:00 p	22.2	22.7	21.7	68	16.0	0.9	NE	3.22	3.1	ENE	22.2	22.4	22.4	1010.4	0.00	0.0	0.000	0.160	24.2	61	16.2	24.7	11.04	1.1630	1344	1	98.2	60
08/11/25	7:00 p	21.3	21.7	21.0	72	16.1	0.9	NE	3.22	3.1	E	21.3	21.6	21.6	1010.8	0.00	0.0	0.000	0.125	23.8	62	16.1	24.3	11.25	1.1651	1343	1	98.2	60
08/11/25	8:00 p	20.5	21.0	20.0	78	16.5	1.8	NE	6.44	4.5	ENE	20.5	21.2	21.2	1011.6	0.00	0.0	0.000	0.090	23.5	63	16.0	24.1	11.46	1.1671	1329	1	97.1	60
08/11/25	9:00 p	19.6	20.0	19.1	81	16.3	1.8	ENE	6.44	4.5	NE	19.6	20.3	20.3	1012.3	0.00	0.0	0.000	0.053	23.3	64	16.1	23.9	11.65	1.1686	1334	1	97.5	60
08/11/25	10:00 p	18.4	19.2	17.8	86	16.1	0.9	ENE	3.22	3.6	ENE	18.4	18.9	18.9	1012.3	0.00	0.0	0.000	0.005	23.2	64	16.0	23.7	11.65	1.1694	1334	1	97.5	60
08/11/25	11:00 p	17.6	17.8	17.4	88	15.5	0.4	NE	1.61	2.2	NE	17.6	17.9	17.9	1012.1	0.00	0.0	0.032	0.000	22.9	65	16.0	23.4	11.85	1.1700	1334	1	97.5	60
09/11/25	12:00 a	17.6	17.7	17.3	89	15.7	0.4	NE	1.61	2.2	NE	17.6	17.9	17.9	1011.6	0.00	0.0	0.032	0.000	22.7	65	15.8	23.1	11.85	1.1705	1334	1	97.5	60
09/11/25	1:00 a	17.1	17.3	16.9	90	15.5	0.4	SSW	1.61	2.2	SSW	17.1	17.5	17.5	1010.8	0.00	0.0	0.051	0.000	22.6	66	15.9	23.0	12.10	1.1700	1338	1	97.8	60
09/11/25	2:00 a	16.6	16.9	16.1	92	15.3	0.9	SSW	3.22	2.2	SSW	16.6	16.9	16.9	1010.5	0.00	0.0	0.074	0.000	22.4	66	15.8	22.7	12.10	1.1704	1337	1	97.7	60
09/11/25	3:00 a	15.8	16.1	15.7	93	14.7	0.4	SSW	1.61	1.8	SW	15.8	16.1	16.1	1010.3	0.00	0.0	0.104	0.000	22.3	66	15.6	22.5	12.11	1.1711	1331	1	97.3	60
09/11/25	4:00 a	15.6	15.7	15.5	92	14.3	0.0	S	0.00	0.9	SSW	15.6	15.8	15.8	1010.3	0.00	0.0	0.113	0.000	22.1	66	15.4	22.2	12.12	1.1722	1331	1	97.3	60
09/11/25	5:00 a	15.2	15.5	14.8	95	14.4	0.0	NE	0.00	0.9	E	15.2	15.4	15.4	1010.6	0.00	0.0	0.132	0.000	21.9	66	15.2	22.0	12.12	1.1735	1336	1	97.7	60
09/11/25	6:00 a	15.9	16.5	15.2	93	14.8	0.0	NE	0.00	0.4	NE	15.9	16.1	16.1	1011.2	0.00	0.0	0.102	0.000	21.8	66	15.2	21.9	12.12	1.1745	1333	1	97.4	60
09/11/25	7:00 a	17.8	18.8	16.5	83	14.9	0.4	ENE	1.61	2.2	NNW	17.8	18.2	18.2	1011.6	0.00	0.0	0.021	0.000	22.0	66	15.4	22.1	12.12	1.1740	1350	1	98.7	60
09/11/25	8:00 a	18.9	19.3	18.5	82	15.8	0.9	ENE	3.22	2.7	ENE	18.9	19.5	19.5	1011.7	0.00	0.0	0.000	0.025	22.3	66	15.7	22.6	12.11	1.1724	1340	1	98.0	60
09/11/25	9:00 a	19.6	19.9	18.8	78	15.7	0.4	SSE	1.61	2.7	SSE	19.6	20.2	20.2	1011.8	0.00	0.0	0.000	0.053	22.6	65	15.7	22.9	11.85	1.1714	1334	1	97.5	60
09/11/25	10:00 a	21.1	23.1	19.7	69	15.1	0.9	SSE	3.22	3.6	ESE	21.1	21.1	21.1	1011.4	0.00	0.0	0.000	0.113	23.4	64	16.2	24.0	11.65	1.1672	1341	1	98.0	60
09/11/25	11:00 a	22.9	23.6	22.1	68	16.7	0.9	S	3.22	3.6	S	22.9	23.6	23.6	1010.6	0.00	0.0	0.000	0.192	24.2	63	16.7	24.8	11.44	1.1625	1335	1	97.6	60
09/11/25	12:00 p	24.2	24.7	23.6	66	17.4	0.9	E	3.22	4.0	ESE	24.2	24.9	24.9	1010.1	0.00	0.0	0.000	0.243	24.6	62	16.8	25.1	11.23	1.1603	1331	1	97.3	60
09/11/25	1:00 p	24.9	25.4	24.3	65	17.9	1.8	ENE	6.44	4.9	ENE	24.9	25.6	25.6	1009.7	0.00	0.0	0.000	0.273	24.9	62	17.2	25.5	11.21	1.1577	1335	1	97.6	60
09/11/25	2:00 p	25.4	26.2	24.7	59	16.8	2.2	ENE	8.05	4.9	E	25.4	25.8	25.8	1009.1	0.00	0.0	0.000	0.294	25.3	62	17.5	25.9	11.20	1.1553	1336	1	97.7	60
09/11/25	3:00 p	25.9	26.3	25.4	58	17.0	1.8	ENE	6.44	4.9	ENE	25.9	26.3	26.3	1008.6	0.00	0.0	0.000	0.315	25.6	62	17.8	26.2	11.19	1.1530	1339	1	97.9	60
09/11/25	4:00 p	26.1	26.5	25.5	56	16.6	1.8	ENE	6.44	5.4	E	26.1	26.4	26.4	1008.6	0.00	0.0	0.000	0.322	25.7	61	17.6	26.2	10.99	1.1531	1334	1	97.5	60
09/11/25	5:00 p	25.4	26.3	24.7	57	16.3	1.8	ENE	6.44	4.0	ENE	25.4	25.8	25.8	1008.5	0.00	0.0	0.000	0.296	25.6	61	17.5	26.2	10.99	1.1533	1340	1	98.0	60
09/11/25	6:00 p	24.4	25.5	23.3	62	16.7	1.3	ENE	4.83	4.9	ENE	24.4	24.9	24.9	1009.0	0.00	0.0	0.000	0.255	25.4	60	17.1	25.9	10.84	1.1554	1335	1	97.6	60
09/11/25	7:00 p	22.5	23.3	21.4	71	17.0	0.4	ENE	1.61	2.2	ENE	22.5	23.1	23.1	1009.7	0.00	0.0	0.000	0.174	24.8	62	17.1	25.4	11.22	1.1583	1342	1	98.1	60
09/11/25	8:00 p	20.8	21.5	20.3	80	17.2	0.4	NE	1.61	2.7	NE	20.8	21.5	21.5	1010.3	0.00	0.0	0.000	0.102	24.4	63	16.9	24.9	11.43	1.1610	1341	1	98.0	60
09/11/25	9:00 p	19.9	20.3	19.6	77	15.7	1.3	NE	4.83	4.5	E	19.9	20.4	20.4	1011.2	0.00	0.0	0.000	0.065	24.1	63	16.6	24.7	11.44	1.1635	1335	1	97.6	60
09/11/25	10:00 p	19.2	19.6	19.0	81	15.8	0.9	NE	3.22	3.6	ENE	19.2	19.7	19.7	1011.8	0.00	0.0	0.000	0.035	23.9	63	16.4	24.5	11.45	1.1653	1342	1	98.1	60
